date,time,mem,vmem
2017-11-02,20:37:05,79.0539,14.0737
2017-11-02,20:37:07,78.7069,14.0737
2017-11-02,20:37:09,78.7057,14.0840
2017-11-02,20:37:11,78.7187,14.0657
2017-11-02,20:37:13,78.7235,14.0737
2017-11-02,20:37:15,78.7299,14.0553
2017-11-02,20:37:17,78.7004,14.0737
2017-11-02,20:37:20,78.6952,14.0553
2017-11-02,20:37:22,78.7235,14.0737
2017-11-02,20:37:24,78.7146,14.0553
2017-11-02,20:37:26,78.7296,14.0370
2017-11-02,20:37:28,78.7604,14.0004
2017-11-02,20:37:30,78.7563,14.0187
2017-11-02,20:37:32,78.7513,14.0370
2017-11-02,20:37:34,78.7686,14.0370
2017-11-02,20:37:36,78.7868,14.0370
2017-11-02,20:37:38,78.7816,14.0187
2017-11-02,20:37:40,78.8015,14.0187
2017-11-02,20:37:42,78.8025,14.0553
2017-11-02,20:37:44,78.8275,14.0370
2017-11-02,20:37:46,78.8454,14.0370
2017-11-02,20:37:48,78.8069,14.0370
2017-11-02,20:37:50,78.8010,14.0370
2017-11-02,20:37:52,78.8372,14.0737
2017-11-02,20:37:55,78.8221,14.0370
2017-11-02,20:37:57,78.8450,14.0553
2017-11-02,20:37:59,78.8668,14.0370
2017-11-02,20:38:01,78.8859,14.0370
2017-11-02,20:38:03,78.9696,14.0737
2017-11-02,20:38:05,78.9790,14.2386
2017-11-02,20:38:07,79.0030,14.0553
2017-11-02,20:38:09,79.0184,14.0737
2017-11-02,20:38:11,78.9694,14.0553
2017-11-02,20:38:13,78.9926,14.0553
2017-11-02,20:38:15,79.0059,14.0553
2017-11-02,20:38:17,79.0111,14.0920
2017-11-02,20:38:19,79.0182,14.0920
2017-11-02,20:38:21,79.0488,14.0920
2017-11-02,20:38:23,79.0513,14.0920
2017-11-02,20:38:25,78.9985,14.0724
2017-11-02,20:38:27,78.9771,14.1457
2017-11-02,20:38:30,78.9946,14.1457
2017-11-02,20:38:32,78.9854,14.1273
