date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2017-11-02,20:37:07,0.0000,0.0000,11686.0000,11686.0000,566.5000,0.0000
2017-11-02,20:37:09,0.0000,0.0000,22413.5000,22413.5000,1667.5000,78.0000
2017-11-02,20:37:11,0.0000,0.0000,28929.0000,28929.0000,3272.5000,1322.0000
2017-11-02,20:37:14,0.0000,0.0000,14370.5000,14370.5000,1996.0000,1181.0000
2017-11-02,20:37:16,0.0000,0.0000,12532.0000,12532.0000,1979.0000,1032.0000
2017-11-02,20:37:18,0.0000,0.0000,14701.5000,14701.5000,1629.0000,225.0000
2017-11-02,20:37:20,0.0000,0.0000,25064.0000,25064.0000,2220.0000,1228.0000
2017-11-02,20:37:22,0.0000,0.0000,13544.5000,13544.5000,2412.0000,726.0000
2017-11-02,20:37:24,0.0000,0.0000,10300.5000,10300.5000,2584.0000,1045.5000
2017-11-02,20:37:26,0.0000,0.0000,8451.0000,8451.0000,2819.0000,1365.5000
2017-11-02,20:37:28,0.0000,0.0000,22027.0000,22027.0000,3032.5000,1550.0000
2017-11-02,20:37:30,0.0000,0.0000,24399.0000,24399.0000,1704.0000,863.5000
2017-11-02,20:37:33,0.0000,0.0000,22443.0000,22443.0000,2248.5000,638.0000
2017-11-02,20:37:35,0.0000,0.0000,8374.0000,8374.0000,1885.0000,822.0000
2017-11-02,20:37:37,0.0000,0.0000,21701.0000,21701.0000,1099.0000,0.0000
2017-11-02,20:37:39,0.0000,0.0000,29089.5000,29089.5000,1135.5000,33.0000
2017-11-02,20:37:41,0.0000,0.0000,17317.5000,17317.5000,818.0000,47.0000
2017-11-02,20:37:43,0.0000,0.0000,24436.0000,24436.0000,523.0000,94.0000
2017-11-02,20:37:45,0.0000,0.0000,5251.5000,5251.5000,785.5000,0.0000
2017-11-02,20:37:47,0.0000,0.0000,29622.0000,29622.0000,675.0000,0.0000
2017-11-02,20:37:50,0.0000,0.0000,19722.0000,19722.0000,964.5000,0.0000
2017-11-02,20:37:52,0.0000,0.0000,37713.0000,37713.0000,893.5000,0.0000
2017-11-02,20:37:54,0.0000,0.0000,19575.5000,19575.5000,778.5000,0.0000
2017-11-02,20:37:56,0.0000,0.0000,7071.5000,7071.5000,821.5000,0.0000
2017-11-02,20:37:58,0.0000,0.0000,15932.0000,15932.0000,943.5000,0.0000
2017-11-02,20:38:00,0.0000,0.0000,12128.0000,12128.0000,802.5000,47.0000
2017-11-02,20:38:02,0.0000,0.0000,14216.0000,14216.0000,692.5000,0.0000
2017-11-02,20:38:04,0.0000,0.0000,11506.5000,11506.5000,473.0000,0.0000
2017-11-02,20:38:06,0.0000,0.0000,8150.0000,8150.0000,1024.5000,33.0000
2017-11-02,20:38:09,0.0000,0.0000,25937.0000,25937.0000,1898.0000,33.0000
2017-11-02,20:38:11,0.0000,0.0000,16893.0000,16893.0000,3183.5000,0.0000
2017-11-02,20:38:13,0.0000,0.0000,11745.5000,11745.5000,1743.5000,0.0000
2017-11-02,20:38:15,0.0000,0.0000,8623.0000,8623.0000,654.0000,0.0000
2017-11-02,20:38:17,0.0000,0.0000,12621.0000,12621.0000,1423.0000,0.0000
2017-11-02,20:38:19,0.0000,0.0000,31436.0000,31436.0000,750.5000,0.0000
2017-11-02,20:38:21,0.0000,0.0000,21273.0000,21273.0000,520.0000,0.0000
2017-11-02,20:38:23,0.0000,0.0000,26846.0000,26846.0000,899.0000,0.0000
2017-11-02,20:38:25,0.0000,0.0000,9421.5000,9421.5000,1224.0000,0.0000
2017-11-02,20:38:28,0.0000,0.0000,14688.0000,14688.0000,724.5000,0.0000
2017-11-02,20:38:30,0.0000,0.0000,12975.0000,12975.0000,371.0000,86.0000
2017-11-02,20:38:32,0.0000,0.0000,18324.5000,18324.5000,496.0000,86.0000
2017-11-02,20:38:34,0.0000,0.0000,4006.5000,4006.5000,603.0000,391.0000
