date,time,user_cpu
2017-11-02,20:37:07,36.6300
2017-11-02,20:37:09,15.6671
2017-11-02,20:37:11,16.4015
2017-11-02,20:37:14,13.1127
2017-11-02,20:37:16,15.7895
2017-11-02,20:37:18,15.1589
2017-11-02,20:37:20,14.9510
2017-11-02,20:37:22,14.2157
2017-11-02,20:37:24,13.4474
2017-11-02,20:37:26,14.7059
2017-11-02,20:37:28,13.6364
2017-11-02,20:37:31,15.0367
2017-11-02,20:37:33,14.6879
2017-11-02,20:37:35,11.8873
2017-11-02,20:37:37,14.0931
2017-11-02,20:37:39,16.0539
2017-11-02,20:37:41,19.8529
2017-11-02,20:37:43,13.7255
2017-11-02,20:37:45,11.5055
2017-11-02,20:37:47,12.3926
2017-11-02,20:37:50,13.7973
2017-11-02,20:37:52,17.4020
2017-11-02,20:37:54,14.1983
2017-11-02,20:37:56,30.1102
2017-11-02,20:37:58,34.8411
2017-11-02,20:38:00,40.3423
2017-11-02,20:38:02,38.5836
2017-11-02,20:38:04,27.9412
2017-11-02,20:38:07,16.8911
2017-11-02,20:38:09,28.7990
2017-11-02,20:38:11,30.6846
2017-11-02,20:38:13,31.3341
2017-11-02,20:38:15,31.0513
2017-11-02,20:38:17,31.0049
2017-11-02,20:38:19,13.7255
2017-11-02,20:38:21,17.0135
2017-11-02,20:38:24,14.4608
2017-11-02,20:38:26,20.3182
2017-11-02,20:38:28,31.7848
2017-11-02,20:38:30,39.0184
2017-11-02,20:38:32,26.7485
