date,time,user_cpu
2017-11-02,19:54:33,32.5581
2017-11-02,19:54:35,25.4902
2017-11-02,19:54:37,13.6029
2017-11-02,19:54:39,12.8205
2017-11-02,19:54:41,12.0098
2017-11-02,19:54:43,12.9902
2017-11-02,19:54:45,15.5447
2017-11-02,19:54:48,13.3578
2017-11-02,19:54:50,11.1931
2017-11-02,19:54:52,12.1175
2017-11-02,19:54:54,24.6022
2017-11-02,19:54:56,17.6039
2017-11-02,19:54:58,25.7669
2017-11-02,19:55:00,16.6056
2017-11-02,19:55:02,12.2399
2017-11-02,19:55:05,13.7592
2017-11-02,19:55:07,20.7824
2017-11-02,19:55:09,13.4969
2017-11-02,19:55:11,11.7503
2017-11-02,19:55:13,13.1450
2017-11-02,19:55:15,22.7384
2017-11-02,19:55:17,22.1271
2017-11-02,19:55:19,26.4706
