date,time,user_cpu
2018-05-31,23:01:58,20.5630
2018-05-31,23:02:00,16.3190
2018-05-31,23:02:02,21.0269
2018-05-31,23:02:04,19.9267
2018-05-31,23:02:06,18.2152
2018-05-31,23:02:08,16.6259
2018-05-31,23:02:10,23.4069
2018-05-31,23:02:13,45.4212
2018-05-31,23:02:15,32.7251
2018-05-31,23:02:17,31.9512
2018-05-31,23:02:19,28.1174
2018-05-31,23:02:21,13.4969
2018-05-31,23:02:23,13.4310
2018-05-31,23:02:25,26.0976
2018-05-31,23:02:27,46.0317
2018-05-31,23:02:30,28.8509
2018-05-31,23:02:32,14.0759
2018-05-31,23:02:34,17.1569
2018-05-31,23:02:36,17.2794
2018-05-31,23:02:38,19.2166
2018-05-31,23:02:40,19.8286
2018-05-31,23:02:42,17.6039
2018-05-31,23:02:44,14.6879
2018-05-31,23:02:47,16.9927
2018-05-31,23:02:49,18.4823
2018-05-31,23:02:51,19.6078
2018-05-31,23:02:53,15.2334
2018-05-31,23:02:55,23.3211
2018-05-31,23:02:57,28.1174
2018-05-31,23:02:59,30.9202
2018-05-31,23:03:01,27.4174
2018-05-31,23:03:04,36.5973
2018-05-31,23:03:06,29.1819
2018-05-31,23:03:08,32.6406
2018-05-31,23:03:10,26.2836
2018-05-31,23:03:12,42.6471
2018-05-31,23:03:14,38.8278
2018-05-31,23:03:16,26.8949
2018-05-31,23:03:18,34.1880
2018-05-31,23:03:20,59.1687
2018-05-31,23:03:23,36.1077
2018-05-31,23:03:25,30.3550
2018-05-31,23:03:27,13.8311
2018-05-31,23:03:29,14.7239
2018-05-31,23:03:31,17.1149
2018-05-31,23:03:33,16.7892
2018-05-31,23:03:35,13.8311
2018-05-31,23:03:37,14.3032
2018-05-31,23:03:40,35.0427
2018-05-31,23:03:42,20.9559
2018-05-31,23:03:44,13.5863
2018-05-31,23:03:46,12.9743
2018-05-31,23:03:48,18.8725
2018-05-31,23:03:50,30.1102
2018-05-31,23:03:52,23.8095
2018-05-31,23:03:54,14.8962
2018-05-31,23:03:57,12.5917
2018-05-31,23:03:59,13.1707
2018-05-31,23:04:01,29.3040
2018-05-31,23:04:03,44.1320
2018-05-31,23:04:05,65.4080
2018-05-31,23:04:07,25.7317
2018-05-31,23:04:09,22.9829
2018-05-31,23:04:11,43.1540
2018-05-31,23:04:14,35.8974
2018-05-31,23:04:16,29.5482
2018-05-31,23:04:18,20.4156
2018-05-31,23:04:20,14.6341
2018-05-31,23:04:22,12.0585
2018-05-31,23:04:24,17.5610
2018-05-31,23:04:26,17.6399
2018-05-31,23:04:28,21.8293
2018-05-31,23:04:30,16.0147
2018-05-31,23:04:33,12.8049
2018-05-31,23:04:35,16.5652
2018-05-31,23:04:37,16.1998
2018-05-31,23:04:39,65.4878
2018-05-31,23:04:41,65.2491
2018-05-31,23:04:43,87.8197
2018-05-31,23:04:45,76.6707
