date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2018-05-31,23:04:07,0.0000,42.0000,33979.0000,33979.0000,0.0000,0.0000
2018-05-31,23:04:09,274.0000,42.0000,34208.5000,34208.5000,158.0000,0.0000
2018-05-31,23:04:11,148.0000,42.0000,36463.5000,36463.5000,1981.5000,0.0000
2018-05-31,23:04:13,240.0000,42.0000,71378.5000,71378.5000,369.0000,0.0000
2018-05-31,23:04:15,0.0000,42.0000,106370.5000,106370.5000,108.0000,0.0000
2018-05-31,23:04:17,0.0000,42.0000,106709.0000,106709.0000,0.0000,0.0000
2018-05-31,23:04:19,0.0000,42.0000,117322.5000,117322.5000,0.0000,0.0000
2018-05-31,23:04:22,208.5000,42.0000,112311.5000,112311.5000,208.5000,0.0000
2018-05-31,23:04:24,0.0000,42.0000,137250.5000,137250.5000,0.0000,0.0000
2018-05-31,23:04:26,0.0000,42.0000,123312.5000,123312.5000,0.0000,0.0000
2018-05-31,23:04:28,0.0000,42.0000,106248.5000,106248.5000,0.0000,0.0000
2018-05-31,23:04:30,0.0000,63.0000,109355.5000,109355.5000,108.5000,0.0000
2018-05-31,23:04:32,0.0000,42.0000,124849.5000,124849.5000,217.0000,0.0000
2018-05-31,23:04:34,0.0000,42.0000,135060.0000,135060.0000,0.0000,0.0000
2018-05-31,23:04:36,0.0000,42.0000,136638.5000,136638.5000,0.0000,0.0000
2018-05-31,23:04:39,0.0000,42.0000,69536.0000,69536.0000,86.0000,0.0000
2018-05-31,23:04:41,79.5000,42.0000,53979.5000,53979.5000,1766.5000,0.0000
2018-05-31,23:04:43,30.0000,42.0000,57249.5000,57249.5000,107.0000,0.0000
2018-05-31,23:04:45,0.0000,42.0000,58318.0000,58318.0000,43.0000,0.0000
2018-05-31,23:04:47,0.0000,42.0000,63393.5000,63393.5000,86.0000,0.0000
2018-05-31,23:04:49,0.0000,63.0000,50530.0000,50530.0000,321.0000,0.0000
2018-05-31,23:04:51,0.0000,42.0000,48356.0000,48356.0000,322.5000,0.0000
2018-05-31,23:04:53,0.0000,42.0000,55155.0000,55155.0000,151.0000,0.0000
2018-05-31,23:04:55,0.0000,42.0000,55197.0000,55197.0000,43.0000,0.0000
2018-05-31,23:04:58,0.0000,42.0000,55389.0000,55389.0000,0.0000,0.0000
2018-05-31,23:05:00,0.0000,42.0000,46013.5000,46013.5000,0.0000,0.0000
2018-05-31,23:05:02,79.5000,42.0000,47479.5000,47479.5000,106.5000,0.0000
2018-05-31,23:05:04,0.0000,42.0000,53978.5000,53978.5000,0.0000,0.0000
2018-05-31,23:05:06,171.0000,42.0000,53885.5000,53885.5000,171.0000,0.0000
2018-05-31,23:05:08,0.0000,63.0000,53674.0000,53674.0000,27.0000,0.0000
2018-05-31,23:05:10,0.0000,42.0000,53953.0000,53953.0000,27.0000,0.0000
2018-05-31,23:05:12,202.0000,42.0000,52168.5000,52168.5000,218.0000,0.0000
2018-05-31,23:05:14,142.0000,42.0000,53954.5000,53954.5000,283.0000,0.0000
2018-05-31,23:05:17,142.0000,42.0000,55037.5000,55037.5000,240.0000,0.0000
2018-05-31,23:05:19,121.5000,42.0000,53220.5000,53220.5000,121.5000,0.0000
2018-05-31,23:05:21,79.5000,42.0000,40813.5000,40813.5000,187.5000,0.0000
2018-05-31,23:05:23,0.0000,42.0000,53076.5000,53076.5000,216.0000,0.0000
2018-05-31,23:05:25,0.0000,42.0000,55487.5000,55487.5000,108.0000,0.0000
2018-05-31,23:05:27,274.0000,63.0000,55429.5000,55429.5000,411.0000,0.0000
2018-05-31,23:05:29,118.0000,42.0000,46905.5000,46905.5000,140.0000,0.0000
2018-05-31,23:05:31,0.0000,42.0000,45288.0000,45288.0000,0.0000,0.0000
2018-05-31,23:05:33,0.0000,42.0000,59550.5000,59550.5000,0.0000,0.0000
2018-05-31,23:05:36,0.0000,42.0000,55730.5000,55730.5000,0.0000,0.0000
2018-05-31,23:05:38,171.0000,42.0000,65835.5000,65835.5000,171.0000,0.0000
2018-05-31,23:05:40,79.5000,42.0000,83048.5000,83048.5000,0.0000,0.0000
2018-05-31,23:05:42,0.0000,42.0000,118174.5000,118174.5000,725.5000,0.0000
2018-05-31,23:05:44,30.0000,42.0000,125951.5000,125951.5000,21.0000,0.0000
2018-05-31,23:05:46,0.0000,42.0000,123625.5000,123625.5000,86.0000,0.0000
2018-05-31,23:05:48,0.0000,21.0000,131172.0000,131172.0000,0.0000,0.0000
2018-05-31,23:05:50,0.0000,0.0000,100917.0000,100917.0000,0.0000,0.0000
2018-05-31,23:05:52,0.0000,0.0000,127101.0000,127101.0000,0.0000,0.0000
2018-05-31,23:05:55,59.0000,0.0000,130630.5000,130630.5000,59.0000,0.0000
2018-05-31,23:05:57,699.0000,0.0000,132619.5000,132619.5000,727.0000,0.0000
2018-05-31,23:05:59,0.0000,0.0000,124161.5000,124161.5000,89.5000,0.0000
2018-05-31,23:06:01,79.5000,0.0000,110551.0000,110551.0000,79.5000,0.0000
2018-05-31,23:06:03,535.5000,0.0000,123543.5000,123543.5000,329.5000,0.0000
2018-05-31,23:06:05,133.5000,42.0000,139421.0000,139421.0000,928.5000,0.0000
2018-05-31,23:06:07,122.0000,21.0000,134074.0000,134074.0000,886.5000,0.0000
2018-05-31,23:06:09,152.0000,0.0000,103589.5000,103589.5000,625.0000,0.0000
2018-05-31,23:06:12,358.0000,0.0000,121549.5000,121549.5000,2470.0000,0.0000
2018-05-31,23:06:14,0.0000,0.0000,136932.0000,136932.0000,259.0000,0.0000
2018-05-31,23:06:16,30.0000,0.0000,117367.5000,117367.5000,21.0000,0.0000
2018-05-31,23:06:18,0.0000,42.0000,119931.5000,119931.5000,0.0000,0.0000
2018-05-31,23:06:20,79.5000,21.0000,98529.5000,98529.5000,79.5000,0.0000
2018-05-31,23:06:22,0.0000,0.0000,129168.0000,129168.0000,0.0000,0.0000
2018-05-31,23:06:24,0.0000,42.0000,125042.0000,125042.0000,0.0000,0.0000
2018-05-31,23:06:26,0.0000,21.0000,135239.5000,135239.5000,0.0000,0.0000
2018-05-31,23:06:28,0.0000,0.0000,113013.5000,113013.5000,108.5000,0.0000
2018-05-31,23:06:31,0.0000,0.0000,112974.5000,112974.5000,108.5000,0.0000
2018-05-31,23:06:33,0.0000,0.0000,125286.0000,125286.0000,108.5000,0.0000
2018-05-31,23:06:35,0.0000,0.0000,125786.5000,125786.5000,0.0000,0.0000
2018-05-31,23:06:37,919.0000,0.0000,128148.5000,128148.5000,1421.0000,0.0000
2018-05-31,23:06:39,661.5000,0.0000,102810.5000,102810.5000,776.0000,0.0000
2018-05-31,23:06:41,249.5000,0.0000,125594.0000,125594.0000,1302.0000,0.0000
