date,time,user_cpu
2017-11-02,20:52:52,45.3545
2017-11-02,20:52:54,34.0659
2017-11-02,20:52:56,26.5606
2017-11-02,20:52:58,30.9756
2017-11-02,20:53:01,29.7066
2017-11-02,20:53:03,29.0086
2017-11-02,20:53:05,28.5539
2017-11-02,20:53:07,25.4279
2017-11-02,20:53:09,26.9278
2017-11-02,20:53:11,25.2439
2017-11-02,20:53:13,27.0833
2017-11-02,20:53:15,27.1394
2017-11-02,20:53:17,34.2717
2017-11-02,20:53:20,30.8446
2017-11-02,20:53:22,41.6157
2017-11-02,20:53:24,30.2808
2017-11-02,20:53:26,42.3501
2017-11-02,20:53:28,28.7286
2017-11-02,20:53:30,25.5814
2017-11-02,20:53:32,26.7399
2017-11-02,20:53:34,27.3839
2017-11-02,20:53:37,31.5789
2017-11-02,20:53:39,28.9216
2017-11-02,20:53:41,29.0954
2017-11-02,20:53:43,26.9841
2017-11-02,20:53:45,40.8589
2017-11-02,20:53:47,42.9621
2017-11-02,20:53:49,44.4308
2017-11-02,20:53:51,37.4083
2017-11-02,20:53:54,29.4621
2017-11-02,20:53:56,30.5623
2017-11-02,20:53:58,41.6361
2017-11-02,20:54:00,39.8046
